report_date,stock_code,company_name,sector,offer_start_date,offer_end_date,listing_date,offer_price_range,entry_fee_hkd,margin_multiple,cornerstone_ratio,score,confidence,recommendation
2026-06-30,02523,永康控股有限公司,运输,2026-06-30,2026-07-08,2026-07-13,HK$2.20-HK$2.68,5414.05,,,7.6,0.29,放弃
2026-06-30,02249,合肥晶合集成电路股份有限公司,半导体,2026-06-30,2026-07-07,2026-07-10,HK$30.00-HK$32.30,3262.57,,49.9,18.2,0.29,放弃
2026-06-30,06745,滨化集团股份有限公司,化工,2026-06-30,2026-07-07,2026-07-10,HK$3.05-HK$3.59,3626.21,,33.4,16.9,0.33,放弃
2026-06-30,01377,广东鼎泰高科技股份有限公司,精密制造,2026-06-30,2026-07-06,2026-07-09,最高HK$380.00,38383.24,,39.8,21.4,0.33,放弃
2026-06-30,02475,立讯精密工业股份有限公司,消费电子,2026-06-30,2026-07-06,2026-07-09,最高HK$63.28,6391.82,,48.4,21.9,0.33,放弃
2026-06-30,02797,江西齐云山食品股份有限公司,消费,2026-06-30,2026-07-06,2026-07-09,HK$5.00-HK$8.00,4040.35,,,7.9,0.25,放弃
2026-06-30,03752,珞石（山东）机器人集团股份有限公司,机器人,2026-06-30,2026-07-06,2026-07-09,HK$38.00,3838.32,,31.4,32.8,0.38,放弃
2026-06-30,00537,普源精电科技股份有限公司,电子仪器,2026-06-30,2026-07-06,2026-07-09,最高HK$45.98,4644.37,,42.1,17.1,0.29,放弃
2026-06-30,06951,潮州三环（集团）股份有限公司,电子元件,2026-06-30,2026-07-06,2026-07-09,最高HK$100.30,10131.16,,49.8,18.2,0.29,放弃
2026-06-30,01770,浙江东方科脉电子股份有限公司,电子纸,2026-06-29,2026-07-03,2026-07-08,HK$78.64-HK$101.11,5106.5,,,0.5,0.17,放弃
2026-06-30,06880,MOMENTA GLOBAL LIMITED - W,AI,2026-06-29,2026-07-03,2026-07-08,HK$295.60,5971.62,,49.9,14.6,0.25,放弃
2026-06-30,07656,厦门瑞为信息技术股份有限公司,AI,2026-06-29,2026-07-03,2026-07-08,HK$21.66,4375.69,,,7.0,0.21,放弃
2026-06-30,07687,易控智驾科技股份有限公司,AI,2026-06-29,2026-07-03,2026-07-08,HK$81.16-HK$87.92,4440.34,,50.0,17.6,0.29,放弃
2026-06-30,08090,山东宝盖新材料科技股份有限公司,建筑材料,2026-06-29,2026-07-03,2026-07-08,HK$6.15-HK$8.51,4297.91,,,2.0,0.21,放弃
2026-06-30,09971,深圳基本半导体股份有限公司,半导体,2026-06-29,2026-07-03,2026-07-08,HK$27.49-HK$31.62,6387.78,,,5.5,0.17,放弃
2026-06-30,02667,北京同仁堂医养投资股份有限公司,医疗保健,2026-06-26,2026-07-02,2026-07-07,HK$5.48-HK$6.21,3136.31,,46.8,12.1,0.29,放弃
2026-07-01,02523,永康控股有限公司,运输,2026-06-30,2026-07-08,2026-07-13,HK$2.20-HK$2.68,5414.05,,,2.2,0.17,放弃
2026-07-01,02249,合肥晶合集成电路股份有限公司,半导体,2026-06-30,2026-07-07,2026-07-10,HK$30.00-HK$32.30,3262.57,,,0.2,0.12,放弃
2026-07-01,06745,滨化集团股份有限公司,化工,2026-06-30,2026-07-07,2026-07-10,HK$3.05-HK$3.59,3626.21,,,1.9,0.12,放弃
2026-07-01,01377,广东鼎泰高科技股份有限公司,精密制造,2026-06-30,2026-07-06,2026-07-09,最高HK$380.00,38383.24,,,5.2,0.12,放弃
2026-07-01,02475,立讯精密工业股份有限公司,消费电子,2026-06-30,2026-07-06,2026-07-09,最高HK$63.28,6391.82,,,7.2,0.17,放弃
2026-07-01,02797,江西齐云山食品股份有限公司,消费,2026-06-30,2026-07-06,2026-07-09,HK$5.00-HK$8.00,4040.35,,,3.9,0.17,放弃
2026-07-01,03752,珞石（山东）机器人集团股份有限公司,机器人,2026-06-30,2026-07-06,2026-07-09,HK$38.00,3838.32,,31.4,28.0,0.33,放弃
2026-07-01,00537,普源精电科技股份有限公司,电子仪器,2026-06-30,2026-07-06,2026-07-09,最高HK$45.98,4644.37,,,3.6,0.12,放弃
2026-07-01,06951,潮州三环（集团）股份有限公司,电子元件,2026-06-30,2026-07-06,2026-07-09,最高HK$100.30,10131.16,,,3.6,0.12,放弃
2026-07-01,01770,浙江东方科脉电子股份有限公司,电子纸,2026-06-29,2026-07-03,2026-07-08,HK$78.64-HK$101.11,5106.5,,,0.0,0.08,放弃
2026-07-01,06880,MOMENTA GLOBAL LIMITED - W,AI,2026-06-29,2026-07-03,2026-07-08,HK$295.60,5971.62,,,0.0,0.08,放弃
2026-07-01,07656,厦门瑞为信息技术股份有限公司,AI,2026-06-29,2026-07-03,2026-07-08,HK$21.66,4375.69,,,1.6,0.08,放弃
2026-07-01,07687,易控智驾科技股份有限公司,AI,2026-06-29,2026-07-03,2026-07-08,HK$81.16-HK$87.92,4440.34,,,1.6,0.08,放弃
2026-07-01,08090,山东宝盖新材料科技股份有限公司,建筑材料,2026-06-29,2026-07-03,2026-07-08,HK$6.15-HK$8.51,4297.91,,,0.0,0.08,放弃
2026-07-01,09971,深圳基本半导体股份有限公司,半导体,2026-06-29,2026-07-03,2026-07-08,HK$27.49-HK$31.62,6387.78,,,0.0,0.08,放弃
2026-07-01,02667,北京同仁堂医养投资股份有限公司,医疗保健,2026-06-26,2026-07-02,2026-07-07,HK$5.48-HK$6.21,3136.31,,,0.0,0.08,放弃
